data,group
"['4', '10:35-11:20', '10c', 'ExpEs', '<span class=""substMonitorSubstElem"">H219</span> (H201)', '<span class=""substMonitorSubstElem"">Kls</span>', '', 'Schüler aus dem Expertenkurs gehen in den Klassenunterricht']",10c
"['7', '13:55-14:40', '10d', 'Ink', 'H211', '<span class=""substMonitorSubstElem"">Dr</span>', '', '']",10d
"['5 - 6', '11:50-13:25', '11a, 11b, 11c, 11d', 'BKOS', 'G11', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kunstkurs Wah: Aufgaben bei iServ']",11a
"['9 - 10', '15:30-17:00', '11a, 11b, 11c, 11d, 12a, 12b, 12d, 13a, 13b, 13c, 13d', 'Spo', 'Halle1, Halle2', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kurs Yoga/Badminton (Bu): Selbstständiges Training']",11a
"['5 - 6', '11:50-13:25', '11a, 11b, 11c, 11d', 'BKOS', 'G11', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kunstkurs Wah: Aufgaben bei iServ']",11b
"['9 - 10', '15:30-17:00', '11a, 11b, 11c, 11d, 12a, 12b, 12d, 13a, 13b, 13c, 13d', 'Spo', 'Halle1, Halle2', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kurs Yoga/Badminton (Bu): Selbstständiges Training']",11b
"['5 - 6', '11:50-13:25', '11a, 11b, 11c, 11d', 'BKOS', 'G11', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kunstkurs Wah: Aufgaben bei iServ']",11c
"['9 - 10', '15:30-17:00', '11a, 11b, 11c, 11d, 12a, 12b, 12d, 13a, 13b, 13c, 13d', 'Spo', 'Halle1, Halle2', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kurs Yoga/Badminton (Bu): Selbstständiges Training']",11c
"['5 - 6', '11:50-13:25', '11a, 11b, 11c, 11d', 'BKOS', 'G11', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kunstkurs Wah: Aufgaben bei iServ']",11d
"['9 - 10', '15:30-17:00', '11a, 11b, 11c, 11d, 12a, 12b, 12d, 13a, 13b, 13c, 13d', 'Spo', 'Halle1, Halle2', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kurs Yoga/Badminton (Bu): Selbstständiges Training']",11d
"['1 - 2', '08:00-09:30', '12a, 12b, 12c, 12d', 'E12-13', 'C11', '<span class=""substMonitorSubstElem"">---</span>', '', 'Kurs Bs: Aufgaben bei iServ']",12a
